agent,turn,us,regroup,tiles,melded,meld_attempts,extend_calls,failed_applies,had_option
AI_0_0,57,386,1,1,1,3,1,0,1
AI_baseline0_1,58,292,1,0,1,3,1,0,0
AI_0_0,59,293,1,0,1,3,1,0,0
AI_baseline0_1,60,295,1,0,1,3,1,0,0
AI_0_0,61,299,1,0,1,3,1,0,0
AI_baseline0_1,62,298,1,0,1,3,1,0,0
AI_0_0,63,303,1,0,1,3,1,0,0
AI_baseline0_1,64,355,1,0,1,3,1,0,0
AI_0_0,65,311,1,0,1,3,1,0,0
AI_baseline0_1,66,309,1,3,1,3,1,0,1
AI_0_0,67,440,1,5,1,3,1,0,1
AI_baseline0_1,68,679,1,3,1,3,1,0,1
AI_0_0,69,479,1,1,1,3,1,0,1
AI_baseline0_1,70,357,1,0,1,3,1,0,0
AI_0_0,71,368,1,0,1,3,1,0,0
AI_baseline0_1,72,358,1,0,1,3,1,0,0
AI_0_0,73,381,1,3,1,3,1,0,1
AI_baseline0_1,74,512,1,1,1,3,1,0,1
AI_0_0,75,482,1,1,1,3,1,0,1
AI_baseline0_1,76,499,1,1,1,3,1,0,1
AI_0_0,77,368,1,0,1,3,1,0,0
AI_baseline0_1,78,378,1,0,1,3,1,0,0
AI_0_0,79,383,1,0,1,3,1,0,0
AI_baseline0_1,80,502,1,1,1,3,1,0,1
AI_0_0,81,388,1,0,1,3,1,0,0
AI_baseline0_1,82,381,1,0,1,3,1,0,0
AI_0_0,83,521,1,1,1,3,1,0,1
AI_baseline0_1,84,650,1,2,1,3,1,0,1
AI_0_0,85,407,1,0,1,3,1,0,0
AI_baseline0_1,86,390,1,0,1,3,1,0,0
AI_0_0,87,414,1,0,1,3,1,0,0
AI_baseline0_1,88,522,1,1,1,3,1,0,1
AI_0_0,89,552,1,1,1,3,1,0,1
AI_baseline0_1,90,664,1,2,1,3,1,0,1
AI_0_0,91,560,1,1,1,3,1,0,1
AI_baseline0_1,92,403,1,0,1,3,1,0,0
AI_0_0,93,446,1,0,1,3,1,0,0
AI_baseline0_1,94,413,1,0,1,3,1,0,0
AI_0_0,95,435,1,0,1,3,1,0,0
AI_baseline0_1,96,417,1,0,1,3,1,0,0
AI_0_0,97,441,1,0,1,3,1,0,0
AI_baseline0_1,98,419,1,0,1,3,1,0,0
AI_0_0,99,447,1,0,1,3,1,0,0
AI_baseline0_1,100,562,1,1,1,3,1,0,1
AI_0_0,101,750,1,2,1,3,1,0,1
AI_baseline0_1,102,571,1,1,1,3,1,0,1
AI_0_0,103,459,1,0,1,3,1,0,0
AI_baseline0_1,104,430,1,0,1,3,1,0,0
AI_0_0,105,447,1,0,1,3,1,0,0
AI_baseline0_1,106,446,1,0,1,3,1,0,0
AI_0_0,107,457,1,0,1,3,1,0,0
AI_baseline0_1,108,456,1,0,1,3,1,0,0
AI_0_0,109,468,1,0,1,3,1,0,0
AI_baseline0_1,110,599,1,1,1,3,1,0,1
AI_0_0,111,930,1,3,1,3,1,0,1
AI_baseline0_1,112,918,1,3,1,3,1,0,1
AI_0_0,113,485,1,0,1,3,1,0,0
AI_baseline0_1,114,471,1,0,1,3,1,0,0
AI_0_0,115,639,1,1,1,3,1,0,1
AI_baseline0_1,116,796,1,2,1,3,1,0,1
AI_0_0,117,661,1,1,1,3,1,0,1
AI_baseline0_1,118,500,1,0,1,3,1,0,0
AI_0_0,119,504,1,0,1,3,1,0,0
AI_baseline0_1,120,475,1,0,1,3,1,0,0
AI_0_0,121,1775,1,10,1,3,3,0,1
AI_baseline0_1,122,1488,1,2,1,3,2,0,1
AI_0_0,123,493,1,0,1,3,1,0,0
AI_baseline0_1,124,559,1,0,1,3,1,0,0
AI_0_0,1,123,0,0,1,1,0,0,0
AI_baseline0_1,2,107,0,0,1,2,0,0,0
AI_0_0,3,8,0,0,1,2,0,0,0
AI_baseline0_1,4,122,0,0,1,3,0,0,0
AI_0_0,5,7,0,0,1,3,0,0,0
AI_baseline0_1,6,120,0,0,1,4,0,0,0
AI_0_0,7,7,0,0,1,4,0,0,0
AI_baseline0_1,8,7,0,0,1,4,0,0,0
AI_0_0,9,7,0,0,1,4,0,0,0
AI_baseline0_1,10,237,1,3,1,4,1,0,1
AI_0_0,11,181,1,4,1,4,1,0,1
AI_baseline0_1,12,150,1,0,1,4,1,0,0
AI_0_0,13,144,1,0,1,4,1,0,0
AI_baseline0_1,14,157,1,3,1,4,1,0,1
AI_0_0,15,169,1,0,1,4,1,0,0
AI_baseline0_1,16,149,1,0,1,4,1,0,0
AI_0_0,17,169,1,0,1,4,1,0,0
AI_baseline0_1,18,151,1,0,1,4,1,0,0
AI_0_0,19,228,1,1,1,4,1,0,1
AI_baseline0_1,20,158,1,0,1,4,1,0,0
AI_0_0,21,172,1,0,1,4,1,0,0
AI_baseline0_1,22,163,1,0,1,4,1,0,0
AI_0_0,23,178,1,0,1,4,1,0,0
AI_baseline0_1,24,168,1,0,1,4,1,0,0
AI_0_0,25,180,1,0,1,4,1,0,0
AI_baseline0_1,26,169,1,0,1,4,1,0,0
AI_0_0,27,185,1,0,1,4,1,0,0
AI_baseline0_1,28,171,1,0,1,4,1,0,0
AI_0_0,29,187,1,0,1,4,1,0,0
AI_baseline0_1,30,172,1,0,1,4,1,0,0
AI_0_0,31,188,1,0,1,4,1,0,0
AI_baseline0_1,32,175,1,0,1,4,1,0,0
AI_0_0,33,189,1,0,1,4,1,0,0
AI_baseline0_1,34,179,1,0,1,4,1,0,0
AI_0_0,35,193,1,0,1,4,1,0,0
AI_baseline0_1,36,181,1,0,1,4,1,0,0
AI_0_0,37,198,1,0,1,4,1,0,0
AI_baseline0_1,38,189,1,3,1,4,1,0,1
AI_0_0,39,285,1,1,1,4,1,0,1
AI_baseline0_1,40,199,1,0,1,4,1,0,0
AI_0_0,41,221,1,0,1,4,1,0,0
AI_baseline0_1,42,214,1,3,1,4,1,0,1
AI_0_0,43,247,1,3,1,4,1,0,1
AI_baseline0_1,44,303,1,1,1,4,1,0,1
AI_0_0,45,258,1,0,1,4,1,0,0
AI_baseline0_1,46,227,1,0,1,4,1,0,0
AI_0_0,47,268,1,3,1,4,1,0,1
AI_baseline0_1,48,261,1,0,1,4,1,0,0
AI_0_0,49,276,1,0,1,4,1,0,0
AI_baseline0_1,50,273,1,3,1,4,1,0,1
AI_0_0,51,497,1,2,1,4,1,0,1
AI_baseline0_1,52,281,1,0,1,4,1,0,0
AI_0_0,53,300,1,0,1,4,1,0,0
AI_baseline0_1,54,286,1,0,1,4,1,0,0
AI_0_0,55,328,1,0,1,4,1,0,0
AI_baseline0_1,56,300,1,3,1,4,1,0,1
AI_0_0,57,342,1,3,1,4,1,0,1
AI_baseline0_1,58,320,1,0,1,4,1,0,0
AI_0_0,59,344,1,0,1,4,1,0,0
AI_baseline0_1,60,318,1,0,1,4,1,0,0
AI_0_0,61,354,1,3,1,4,1,0,1
AI_baseline0_1,62,693,1,3,1,4,1,0,1
AI_0_0,63,376,1,0,1,4,1,0,0
AI_baseline0_1,64,348,1,0,1,4,1,0,0
AI_0_0,65,369,1,0,1,4,1,0,0
AI_baseline0_1,66,355,1,0,1,4,1,0,0
AI_0_0,67,382,1,0,1,4,1,0,0
AI_baseline0_1,68,359,1,0,1,4,1,0,0
AI_0_0,69,385,1,3,1,4,1,0,1
AI_baseline0_1,70,520,1,1,1,4,1,0,1
AI_0_0,71,394,1,0,1,4,1,0,0
AI_baseline0_1,72,388,1,0,1,4,1,0,0
AI_0_0,73,409,1,0,1,4,1,0,0
AI_baseline0_1,74,389,1,0,1,4,1,0,0
AI_0_0,75,412,1,3,1,4,1,0,1
AI_baseline0_1,76,579,1,1,1,4,1,0,1
AI_0_0,77,563,1,1,1,4,1,0,1
AI_baseline0_1,78,432,1,0,1,4,1,0,0
AI_0_0,79,424,1,0,1,4,1,0,0
AI_baseline0_1,80,561,1,1,1,4,1,0,1
AI_0_0,81,712,1,2,1,4,1,0,1
AI_baseline0_1,82,443,1,0,1,4,1,0,0
AI_0_0,83,432,1,0,1,4,1,0,0
AI_baseline0_1,84,570,1,1,1,4,1,0,1
AI_0_0,85,445,1,0,1,4,1,0,0
AI_baseline0_1,86,443,1,0,1,4,1,0,0
AI_0_0,87,442,1,0,1,4,1,0,0
AI_baseline0_1,88,589,1,1,1,4,1,0,1
AI_0_0,89,585,1,1,1,4,1,0,1
AI_baseline0_1,90,449,1,0,1,4,1,0,0
AI_0_0,91,453,1,0,1,4,1,0,0
AI_baseline0_1,92,459,1,3,1,4,1,0,1
AI_0_0,93,447,1,0,1,4,1,0,0
AI_baseline0_1,94,460,1,0,1,4,1,0,0
AI_0_0,95,597,1,1,1,4,1,0,1
AI_baseline0_1,96,443,1,0,1,4,1,0,0
AI_0_0,97,455,1,0,1,4,1,0,0
AI_baseline0_1,98,447,1,0,1,4,1,0,0
AI_0_0,99,454,1,0,1,4,1,0,0
AI_baseline0_1,100,598,1,1,1,4,1,0,1
AI_0_0,101,616,1,1,1,4,1,0,1
AI_baseline0_1,102,452,1,0,1,4,1,0,0
AI_0_0,103,478,1,0,1,4,1,0,0
AI_baseline0_1,104,465,1,0,1,4,1,0,0
AI_0_0,105,472,1,0,1,4,1,0,0
AI_baseline0_1,106,462,1,0,1,4,1,0,0
AI_0_0,107,625,1,1,1,4,1,0,1
AI_baseline0_1,108,625,1,1,1,4,1,0,1
AI_0_0,109,624,1,1,1,4,1,0,1
AI_baseline0_1,110,789,1,2,1,4,1,0,1
AI_0_0,111,641,1,1,1,4,1,0,1
AI_baseline0_1,112,633,1,1,1,4,1,0,1
AI_0_0,113,490,1,0,1,4,1,0,0
AI_baseline0_1,114,478,1,0,1,4,1,0,0
AI_0_0,115,509,1,0,1,4,1,0,0
AI_baseline0_1,116,492,1,0,1,4,1,0,0
AI_0_0,117,516,1,0,1,4,1,0,0
AI_0_0,1,113,0,0,1,1,0,0,0
AI_baseline0_1,2,202,0,0,1,2,0,0,0
AI_0_0,3,117,1,0,1,2,1,0,0
AI_baseline0_1,4,7,0,0,1,2,0,0,0
AI_0_0,5,7,0,0,1,2,0,0,0
AI_baseline0_1,6,7,0,0,1,2,0,0,0
AI_0_0,7,7,0,0,1,2,0,0,0
AI_baseline0_1,8,6,0,0,1,2,0,0,0
AI_0_0,9,121,1,0,1,2,1,0,0
AI_baseline0_1,10,112,1,0,1,2,1,0,0
AI_0_0,11,118,1,0,1,2,1,0,0
AI_baseline0_1,12,106,1,0,1,2,1,0,0
AI_0_0,13,119,1,0,1,2,1,0,0
AI_baseline0_1,14,111,1,0,1,2,1,0,0
AI_0_0,15,122,1,0,1,2,1,0,0
AI_baseline0_1,16,114,1,0,1,2,1,0,0
AI_0_0,17,127,1,0,1,2,1,0,0
AI_baseline0_1,18,121,1,0,1,2,1,0,0
AI_0_0,19,131,1,0,1,2,1,0,0
AI_baseline0_1,20,125,1,0,1,2,1,0,0
AI_0_0,21,166,1,1,1,2,1,0,1
AI_baseline0_1,22,135,1,0,1,2,1,0,0
AI_0_0,23,137,1,0,1,2,1,0,0
AI_baseline0_1,24,137,1,0,1,2,1,0,0
AI_0_0,25,181,1,1,1,2,1,0,1
AI_baseline0_1,26,151,1,5,1,2,1,0,1
AI_0_0,27,183,1,7,1,2,1,0,1
AI_baseline0_1,28,255,1,1,1,2,1,0,1
AI_0_0,29,256,1,1,1,2,1,0,1
AI_baseline0_1,30,202,1,0,1,2,1,0,0
AI_0_0,31,198,1,0,1,2,1,0,0
AI_baseline0_1,32,210,1,3,1,2,1,0,1
AI_0_0,33,216,1,0,1,2,1,0,0
AI_baseline0_1,34,211,1,0,1,2,1,0,0
AI_0_0,35,219,1,0,1,2,1,0,0
AI_baseline0_1,36,214,1,0,1,2,1,0,0
AI_0_0,37,223,1,0,1,2,1,0,0
AI_baseline0_1,38,218,1,0,1,2,1,0,0
AI_0_0,39,232,1,3,1,2,1,0,1
AI_baseline0_1,40,317,1,1,1,2,1,0,1
AI_0_0,41,240,1,0,1,2,1,0,0
AI_baseline0_1,42,278,1,0,1,2,1,0,0
AI_0_0,43,261,1,0,1,2,1,0,0
AI_baseline0_1,44,340,1,1,1,2,1,0,1
AI_0_0,45,343,1,1,1,2,1,0,1
AI_baseline0_1,46,259,1,0,1,2,1,0,0
AI_0_0,47,260,1,0,1,2,1,0,0
AI_baseline0_1,48,267,1,4,1,2,1,0,1
AI_0_0,49,364,1,1,1,2,1,0,1
AI_baseline0_1,50,274,1,0,1,2,1,0,0
AI_0_0,51,276,1,0,1,2,1,0,0
AI_baseline0_1,52,279,1,0,1,2,1,0,0
AI_0_0,53,277,1,0,1,2,1,0,0
AI_baseline0_1,54,284,1,0,1,2,1,0,0
AI_0_0,55,310,1,0,1,2,1,0,0
AI_baseline0_1,56,298,1,0,1,2,1,0,0
AI_0_0,57,292,1,0,1,2,1,0,0
AI_baseline0_1,58,291,1,0,1,2,1,0,0
AI_0_0,59,375,1,1,1,2,1,0,1
AI_baseline0_1,60,300,1,0,1,2,1,0,0
AI_0_0,61,290,1,0,1,2,1,0,0
AI_baseline0_1,62,387,1,1,1,2,1,0,1
AI_0_0,63,315,1,4,1,2,1,0,1
AI_baseline0_1,64,434,1,3,1,2,1,0,1
AI_0_0,65,422,1,1,1,2,1,0,1
AI_baseline0_1,66,333,1,0,1,2,1,0,0
AI_0_0,67,320,1,0,1,2,1,0,0
AI_baseline0_1,68,444,1,1,1,2,1,0,1
AI_0_0,69,334,1,0,1,2,1,0,0
AI_baseline0_1,70,346,1,0,1,2,1,0,0
AI_0_0,71,331,1,0,1,2,1,0,0
AI_baseline0_1,72,345,1,3,1,2,1,0,1
AI_0_0,73,355,1,0,1,2,1,0,0
AI_baseline0_1,74,359,1,0,1,2,1,0,0
AI_0_0,75,361,1,0,1,2,1,0,0
AI_baseline0_1,76,367,1,1,1,2,1,0,1
AI_0_0,77,747,1,3,1,2,1,0,1
AI_baseline0_1,78,475,1,1,1,2,1,0,1
AI_0_0,79,390,1,0,1,2,1,0,0
AI_baseline0_1,80,358,1,0,1,2,1,0,0
AI_0_0,81,402,1,0,1,2,1,0,0
AI_baseline0_1,82,376,1,0,1,2,1,0,0
AI_0_0,83,404,1,0,1,2,1,0,0
AI_baseline0_1,84,374,1,0,1,2,1,0,0
AI_0_0,85,416,1,0,1,2,1,0,0
AI_baseline0_1,86,499,1,1,1,2,1,0,1
AI_0_0,87,550,1,1,1,2,1,0,1
AI_baseline0_1,88,380,1,0,1,2,1,0,0
AI_0_0,89,428,1,0,1,2,1,0,0
AI_baseline0_1,90,503,1,1,1,2,1,0,1
AI_0_0,91,564,1,1,1,2,1,0,1
AI_baseline0_1,92,388,1,0,1,2,1,0,0
AI_0_0,93,437,1,0,1,2,1,0,0
AI_baseline0_1,94,396,1,0,1,2,1,0,0
AI_0_0,95,578,1,1,1,2,1,0,1
AI_baseline0_1,96,412,1,0,1,2,1,0,0
AI_0_0,97,450,1,0,1,2,1,0,0
AI_baseline0_1,98,410,1,0,1,2,1,0,0
AI_0_0,99,455,1,0,1,2,1,0,0
AI_baseline0_1,100,415,1,0,1,2,1,0,0
AI_0_0,101,492,1,0,1,2,1,0,0
AI_baseline0_1,102,422,1,0,1,2,1,0,0
AI_0_0,103,599,1,1,1,2,1,0,1
AI_baseline0_1,104,960,1,4,1,2,1,0,1
AI_0_0,105,485,1,0,1,2,1,0,0
AI_baseline0_1,106,421,1,0,1,2,1,0,0
AI_0_0,107,478,1,0,1,2,1,0,0
AI_baseline0_1,108,433,1,0,1,2,1,0,0
AI_0_0,109,484,1,0,1,2,1,0,0
AI_baseline0_1,110,584,1,1,1,2,1,0,1
AI_0_0,111,671,1,1,1,2,1,0,1
AI_baseline0_1,112,455,1,0,1,2,1,0,0
AI_0_0,113,497,1,0,1,2,1,0,0
AI_0_0,1,124,0,0,0,1,0,0,0
AI_baseline0_1,2,105,0,0,0,2,0,0,0
AI_0_0,3,120,0,0,0,3,0,0,0
AI_baseline0_1,4,109,0,0,0,4,0,0,0
AI_0_0,5,138,0,0,0,5,0,0,0
AI_baseline0_1,6,117,0,0,0,6,0,0,0
AI_0_0,7,134,0,0,0,7,0,0,0
AI_baseline0_1,8,121,0,0,0,8,0,0,0
AI_0_0,9,137,0,0,0,9,0,0,0
AI_baseline0_1,10,125,0,0,0,10,0,0,0
AI_0_0,11,143,0,0,0,11,0,0,0
AI_baseline0_1,12,128,0,0,0,12,0,0,0
AI_0_0,13,145,0,0,0,13,0,0,0
AI_baseline0_1,14,116,0,0,1,14,0,0,0
AI_0_0,15,123,0,0,1,15,0,0,0
AI_baseline0_1,16,10,0,0,1,15,0,0,0
AI_0_0,17,7,0,0,1,15,0,0,0
AI_baseline0_1,18,6,0,0,1,15,0,0,0
AI_0_0,19,6,0,0,1,15,0,0,0
AI_baseline0_1,20,6,0,0,1,15,0,0,0
AI_0_0,21,144,1,6,1,15,1,0,1
AI_baseline0_1,22,349,1,7,1,15,1,0,1
AI_0_0,23,176,1,0,1,15,1,0,0
AI_baseline0_1,24,166,1,0,1,15,1,0,0
AI_0_0,25,173,1,0,1,15,1,0,0
AI_baseline0_1,26,169,1,0,1,15,1,0,0
AI_0_0,27,175,1,0,1,15,1,0,0
AI_baseline0_1,28,173,1,0,1,15,1,0,0
AI_0_0,29,180,1,4,1,15,1,0,1
AI_baseline0_1,30,255,1,1,1,15,1,0,1
AI_0_0,31,259,1,1,1,15,1,0,1
AI_baseline0_1,32,286,1,1,1,15,1,0,1
AI_0_0,33,196,1,0,1,15,1,0,0
AI_baseline0_1,34,212,1,0,1,15,1,0,0
AI_0_0,35,260,1,1,1,15,1,0,1
AI_baseline0_1,36,216,1,0,1,15,1,0,0
AI_0_0,37,199,1,0,1,15,1,0,0
AI_baseline0_1,38,219,1,0,1,15,1,0,0
AI_0_0,39,203,1,0,1,15,1,0,0
AI_baseline0_1,40,226,1,4,1,15,1,0,1
AI_0_0,41,237,1,2,1,15,1,0,1
AI_baseline0_1,42,248,1,0,1,15,1,0,0
AI_0_0,43,237,1,0,1,15,1,0,0
AI_baseline0_1,44,251,1,0,1,15,1,0,0
AI_0_0,45,229,1,0,1,15,1,0,0
AI_baseline0_1,46,254,1,0,1,15,1,0,0
AI_0_0,47,232,1,0,1,15,1,0,0
AI_baseline0_1,48,264,1,3,1,15,1,0,1
AI_0_0,49,434,1,2,1,15,1,0,1
AI_baseline0_1,50,522,1,3,1,15,1,0,1
AI_0_0,51,276,1,0,1,15,1,0,0
AI_baseline0_1,52,259,1,0,1,15,1,0,0
AI_0_0,53,282,1,0,1,15,1,0,0
AI_baseline0_1,54,348,1,1,1,15,1,0,1
AI_0_0,55,299,1,0,1,15,1,0,0
AI_baseline0_1,56,262,1,0,1,15,1,0,0
AI_0_0,57,304,1,0,1,15,1,0,0
AI_baseline0_1,58,279,1,0,1,15,1,0,0
AI_0_0,59,307,1,0,1,15,1,0,0
AI_baseline0_1,60,279,1,0,1,15,1,0,0
AI_0_0,61,314,1,0,1,15,1,0,0
AI_baseline0_1,62,372,1,1,1,15,1,0,1
AI_0_0,63,421,1,1,1,15,1,0,1
AI_baseline0_1,64,289,1,0,1,15,1,0,0
AI_0_0,65,331,1,0,1,15,1,0,0
AI_baseline0_1,66,295,1,0,1,15,1,0,0
AI_0_0,67,334,1,0,1,15,1,0,0
AI_baseline0_1,68,304,1,0,1,15,1,0,0
AI_0_0,69,339,1,0,1,15,1,0,0
AI_baseline0_1,70,405,1,1,1,15,1,0,1
AI_0_0,71,350,1,0,1,15,1,0,0
AI_baseline0_1,72,312,1,0,1,15,1,0,0
AI_0_0,73,352,1,0,1,15,1,0,0
AI_baseline0_1,74,314,1,0,1,15,1,0,0
AI_0_0,75,442,1,1,1,15,1,0,1
AI_baseline0_1,76,319,1,0,1,15,1,0,0
AI_0_0,77,350,1,0,1,15,1,0,0
AI_baseline0_1,78,614,1,3,1,15,1,0,1
AI_0_0,79,579,1,2,1,15,1,0,1
AI_baseline0_1,80,328,1,0,1,15,1,0,0
AI_0_0,81,373,1,0,1,15,1,0,0
AI_baseline0_1,82,337,1,0,1,15,1,0,0
AI_0_0,83,534,1,1,1,15,1,0,1
AI_baseline0_1,84,345,1,0,1,15,1,0,0
AI_0_0,85,387,1,0,1,15,1,0,0
AI_baseline0_1,86,347,1,0,1,15,1,0,0
AI_0_0,87,391,1,0,1,15,1,0,0
AI_baseline0_1,88,457,1,1,1,15,1,0,1
AI_0_0,89,473,1,1,1,15,1,0,1
AI_baseline0_1,90,361,1,0,1,15,1,0,0
AI_0_0,91,372,1,0,1,15,1,0,0
AI_baseline0_1,92,350,1,0,1,15,1,0,0
AI_0_0,93,378,1,0,1,15,1,0,0
AI_baseline0_1,94,360,1,0,1,15,1,0,0
AI_0_0,95,401,1,0,1,15,1,0,0
AI_baseline0_1,96,365,1,0,1,15,1,0,0
AI_0_0,97,634,1,2,1,15,1,0,1
AI_baseline0_1,98,604,1,2,1,15,1,0,1
AI_0_0,99,757,1,3,1,15,1,0,1
AI_baseline0_1,100,393,1,0,1,15,1,0,0
AI_0_0,101,428,1,0,1,15,1,0,0
AI_baseline0_1,102,400,1,0,1,15,1,0,0
AI_0_0,103,406,1,0,1,15,1,0,0
AI_baseline0_1,104,406,1,0,1,15,1,0,0
AI_0_0,105,895,1,4,1,15,1,0,1
AI_baseline0_1,106,433,1,0,1,15,1,0,0
AI_0_0,107,414,1,0,1,15,1,0,0
AI_0_0,1,122,0,0,0,1,0,0,0
AI_baseline0_1,2,91,0,0,1,2,0,0,0
AI_0_0,3,125,0,0,1,3,0,0,0
AI_baseline0_1,4,85,1,0,1,3,1,0,0
AI_0_0,5,126,0,0,1,4,0,0,0
AI_baseline0_1,6,82,1,0,1,4,1,0,0
AI_0_0,7,114,0,0,1,5,0,0,0
AI_baseline0_1,8,108,1,0,1,5,1,0,0
AI_0_0,9,7,0,0,1,5,0,0,0
AI_baseline0_1,10,14,0,0,1,5,0,0,0
AI_0_0,11,7,0,0,1,5,0,0,0
AI_baseline0_1,12,10,0,0,1,5,0,0,0
AI_0_0,13,6,0,0,1,5,0,0,0
AI_baseline0_1,14,132,1,3,1,5,1,0,1
AI_0_0,15,253,1,6,1,5,1,0,1
AI_baseline0_1,16,152,1,0,1,5,1,0,0
AI_0_0,17,137,1,0,1,5,1,0,0
AI_baseline0_1,18,147,1,0,1,5,1,0,0
AI_0_0,19,137,1,0,1,5,1,0,0
AI_baseline0_1,20,150,1,0,1,5,1,0,0
AI_0_0,21,138,1,0,1,5,1,0,0
AI_baseline0_1,22,154,1,0,1,5,1,0,0
AI_0_0,23,143,1,0,1,5,1,0,0
AI_baseline0_1,24,252,1,2,1,5,1,0,1
AI_0_0,25,154,1,0,1,5,1,0,0
AI_baseline0_1,26,159,1,0,1,5,1,0,0
AI_0_0,27,158,1,0,1,5,1,0,0
AI_baseline0_1,28,162,1,0,1,5,1,0,0
AI_0_0,29,160,1,0,1,5,1,0,0
AI_baseline0_1,30,165,1,0,1,5,1,0,0
AI_0_0,31,162,1,0,1,5,1,0,0
AI_baseline0_1,32,173,1,3,1,5,1,0,1
AI_0_0,33,195,1,3,1,5,1,0,1
AI_baseline0_1,34,198,1,0,1,5,1,0,0
AI_0_0,35,196,1,0,1,5,1,0,0
AI_baseline0_1,36,261,1,1,1,5,1,0,1
AI_0_0,37,266,1,1,1,5,1,0,1
AI_baseline0_1,38,203,1,0,1,5,1,0,0
AI_0_0,39,202,1,0,1,5,1,0,0
AI_baseline0_1,40,208,1,3,1,5,1,0,1
AI_0_0,41,359,1,2,1,5,1,0,1
AI_baseline0_1,42,221,1,0,1,5,1,0,0
AI_0_0,43,223,1,0,1,5,1,0,0
AI_baseline0_1,44,295,1,1,1,5,1,0,1
AI_0_0,45,234,1,0,1,5,1,0,0
AI_baseline0_1,46,225,1,0,1,5,1,0,0
AI_0_0,47,238,1,0,1,5,1,0,0
AI_baseline0_1,48,300,1,1,1,5,1,0,1
AI_0_0,49,317,1,1,1,5,1,0,1
AI_baseline0_1,50,235,1,0,1,5,1,0,0
AI_0_0,51,245,1,0,1,5,1,0,0
AI_baseline0_1,52,239,1,0,1,5,1,0,0
AI_0_0,53,253,1,0,1,5,1,0,0
AI_baseline0_1,54,251,1,0,1,5,1,0,0
AI_0_0,55,256,1,0,1,5,1,0,0
AI_baseline0_1,56,405,1,2,1,5,1,0,1
AI_0_0,57,512,1,3,1,5,1,0,1
AI_baseline0_1,58,283,1,0,1,5,1,0,0
AI_0_0,59,269,1,0,1,5,1,0,0
AI_baseline0_1,60,286,1,0,1,5,1,0,0
AI_0_0,61,282,1,0,1,5,1,0,0
AI_baseline0_1,62,290,1,0,1,5,1,0,0
AI_0_0,63,290,1,3,1,5,1,0,1
AI_baseline0_1,64,405,1,1,1,5,1,0,1
